farm,animal_id,weight,woolLevel,score,captured_at_as_min,depth,unexpected_behavior,gender
Farm A,021IK4BJ2GltxzphIRtY,42.2,0.0,4.0,547,0200_15565_2025_01_26_09_07_57_912318_DEPTH_320_240_1.png,False,1
Farm A,021IK4BJ2GltxzphIRtY,42.2,0.0,4.0,547,0200_15566_2025_01_26_09_07_58_014755_DEPTH_320_240_1.png,False,1
Farm A,021IK4BJ2GltxzphIRtY,42.2,0.0,4.0,547,0200_15567_2025_01_26_09_07_58_123809_DEPTH_320_240_1.png,False,1
Farm A,021IK4BJ2GltxzphIRtY,42.2,0.0,4.0,547,0200_15569_2025_01_26_09_07_58_344763_DEPTH_320_240_1.png,False,1
Farm A,021IK4BJ2GltxzphIRtY,42.2,0.0,4.0,547,0200_15568_2025_01_26_09_07_58_235040_DEPTH_320_240_1.png,False,1
Farm A,021IK4BJ2GltxzphIRtY,42.2,0.0,4.0,547,0200_15570_2025_01_26_09_07_58_448220_DEPTH_320_240_1.png,False,1
Farm A,021IK4BJ2GltxzphIRtY,42.2,0.0,4.0,547,0200_15564_2025_01_26_09_07_57_817270_DEPTH_320_240_1.png,False,1
Farm A,4HV3xs0i0TW3luSfzXYC,53.65,2.0,2.0,553,0265_16722_2025_01_26_09_13_35_031679_DEPTH_320_240_1.png,False,1
Farm A,4HV3xs0i0TW3luSfzXYC,53.65,2.0,2.0,553,0265_16721_2025_01_26_09_13_34_925530_DEPTH_320_240_1.png,False,1
Farm A,4VVduhuUTmpx3gEC5Rir,30.7,0.0,3.0,548,0013_15622_2025_01_26_09_08_27_290424_DEPTH_320_240_1.png,False,1
Farm A,4VVduhuUTmpx3gEC5Rir,30.7,0.0,3.0,548,0013_15623_2025_01_26_09_08_27_407146_DEPTH_320_240_1.png,False,1
Farm A,4VVduhuUTmpx3gEC5Rir,30.7,0.0,3.0,548,0013_15620_2025_01_26_09_08_27_071402_DEPTH_320_240_1.png,False,1
Farm A,4VVduhuUTmpx3gEC5Rir,30.7,0.0,3.0,548,0013_15621_2025_01_26_09_08_27_173897_DEPTH_320_240_1.png,False,1
Farm A,50xh6D7LBGadWaZkTrFj,33.6,2.0,4.0,571,963_17439_2025_01_26_09_31_08_447341_DEPTH_320_240_1.png,False,1
Farm A,50xh6D7LBGadWaZkTrFj,33.6,2.0,4.0,571,963_17435_2025_01_26_09_31_08_025130_DEPTH_320_240_1.png,False,1
Farm A,50xh6D7LBGadWaZkTrFj,33.6,2.0,4.0,571,963_17436_2025_01_26_09_31_08_135674_DEPTH_320_240_1.png,False,1
